1.0,2022-11-28 10:14:00,2022-11-28 15:14:00
1.0,2022-11-29 08:53:00,2022-11-29 11:47:00
1.0,2022-12-01 08:55:00,2022-12-01 09:03:00
1.0,2022-12-01 09:16:00,2022-12-01 16:08:00
1.0,2022-12-02 08:53:00,2022-12-02 11:53:00
1.0,2022-12-02 12:09:00,2022-12-02 16:09:00
1.0,2022-12-06 09:04:00,2022-12-06 10:04:00
1.0,2022-12-06 10:24:00,2022-12-06 16:24:00
1.0,2022-12-07 13:49:00,2022-12-07 15:14:00
1.0,2022-12-08 09:28:00,2022-12-08 15:56:00
1.0,2022-12-09 08:47:00,2022-12-09 13:47:00
1.0,2022-12-12 10:30:00,2022-12-12 10:43:00
1.0,2022-12-12 11:14:00,2022-12-12 16:01:00
1.0,2022-12-13 09:00:00,2022-12-13 12:13:00
